Source,Target,Type,Label,Weight
Method:nerf,Dataset:llff,Directed,method_uses_dataset,0.95
Repo:nerfstudio-project/nerfstudio,Method:nerf,Directed,repo_implements_method,0.95
Repo:google-research/multinerf,Method:ref-nerf,Directed,repo_implements_method,1.0
Repo:google-research/multinerf,Method:nerf,Directed,repo_implements_method,0.9
Repo:kwea123/nerf_pl,Method:nerf_pl,Directed,repo_implements_method,1.0
Repo:taichi-dev/taichi-nerfs,Method:nerf,Directed,repo_implements_method,0.95
Repo:apchenstu/mvsnerf,Method:mvsnerf,Directed,repo_implements_method,0.99
Method:mvsnerf,Dataset:llff,Directed,method_uses_dataset,0.9
Method:mvsnerf,Dataset:dtu,Directed,method_uses_dataset,0.9
Repo:maximeraafat/BlenderNeRF,Method:blendernerf,Directed,repo_implements_method,0.99
Repo:maximeraafat/BlenderNeRF,Method:sof,Directed,repo_implements_method,0.95
Repo:yerfor/Real3DPortrait,Method:geneface++,Directed,repo_implements_method,0.9
Repo:yerfor/GeneFacePlusPlus,Method:geneface++,Directed,repo_implements_method,1.0
Repo:ToniRV/NeRF-SLAM,Method:nerf-slam,Directed,repo_implements_method,1.0
Repo:ActiveVisionLab/nerfmm,Method:nerfmm,Directed,repo_implements_method,1.0
Method:nerfmm,Dataset:llff,Directed,method_uses_dataset,0.9
Repo:kwea123/nerf_Unity,Method:nerf_pl,Directed,repo_implements_method,1.0
Repo:ashawkey/torch-ngp,Method:sdf,Directed,repo_implements_method,0.95
Repo:ashawkey/torch-ngp,Method:nerf,Directed,repo_implements_method,0.95
Repo:ashawkey/torch-ngp,Method:tensorf,Directed,repo_implements_method,0.9
Repo:NVlabs/instant-ngp,Method:nerf,Directed,repo_implements_method,0.99
Repo:ayaanzhaque/instruct-nerf2nerf,Method:instruct-nerf2nerf,Directed,repo_implements_method,0.99
Repo:caiyuanhao1998/SAX-NeRF,Method:nerf,Directed,repo_implements_method,0.9
Repo:PeterouZh/CIPS-3D,Method:nerf,Directed,repo_implements_method,0.8
Repo:sjtuytc/UnboundedNeRFPytorch,Method:unboundednerfpytorch,Directed,repo_implements_method,1.0
Repo:sjtuytc/UnboundedNeRFPytorch,Method:nerf,Directed,repo_implements_method,0.9
Repo:sjtuytc/UnboundedNeRFPytorch,Method:mip-nerf-360,Directed,repo_implements_method,0.9
Repo:ActiveVisionLab/nope-nerf,Method:nerf,Directed,repo_implements_method,0.9
Repo:rover-xingyu/Ha-NeRF,Method:ha-nerf,Directed,repo_implements_method,1.0
Repo:autonomousvision/mip-splatting,Method:mip-splatting,Directed,repo_implements_method,1.0
Repo:yihua7/NeRF-Texture,Method:nerf-texture,Directed,repo_implements_method,1.0
