6041
4695	1603	2
1603	23	0
4688	1477	2
4663	835	2
4657	309	2
4839	783	2
4833	258	2
4833	540	2
4807	2773	2
4807	2774	2
4801	1954	2
4755	1289	2
1289	23	0
4749	851	2
4734	3224	2
4731	314	2
4725	2994	2
2994	18	0
4915	251	2
4915	233	2
4870	437	2
4861	952	2
952	23	0
4855	438	2
4855	462	2
4855	674	2
4855	1206	2
4710	268	2
4702	1388	2
4700	1211	2
1211	38	0
1211	23	0
4696	1247	2
4923	1795	2
4912	3161	2
3161	23	0
4906	708	2
4906	2104	2
4898	585	2
4605	109	2
4597	979	2
4595	1155	2
4587	2955	2
4586	1989	2
1989	25	0
4640	1393	2
4638	2037	2
4638	1957	2
2037	32	0
4634	2177	2
4621	1002	2
4621	2360	2
4621	3036	2
4643	423	2
4656	2140	2
4650	2190	2
4646	904	2
4646	883	2
4646	1108	2
4646	2402	2
4645	2269	2
4555	2686	2
4552	2363	2
4549	2011	2
4544	1497	2
4544	1485	2
4542	955	2
4537	2727	2
4574	1034	2
4570	3137	2
3137	23	0
4567	2630	2
4566	2507	2
4564	1057	2
1057	23	0
4563	921	2
4563	1117	2
4560	1143	2
4558	1161	2
4510	2445	2
4509	1940	2
4508	3027	2
4504	726	2
4503	961	2
4522	1049	2
4519	3194	2
4519	3175	2
4517	1085	2
4513	1229	2
4513	1231	2
4513	1230	2
4511	3193	2
4536	408	2
4536	235	2
4536	227	2
4536	466	2
4536	554	2
4534	2041	2
4529	652	2
4527	2775	2
2775	23	0
4523	1315	2
4501	2627	2
4499	1621	2
4497	2852	2
4496	280	2
4496	927	2
4495	2222	2
4495	367	2
4495	2495	2
4494	1690	2
4494	3183	2
4494	1227	2
4494	1664	2
4493	1372	2
4493	1374	2
4493	3099	2
4491	2927	2
4491	2793	2
4490	1986	2
4485	2083	2
4483	2068	2
4482	2032	2
4481	3250	2
4480	2229	2
2229	38	0
2229	18	0
2229	7	0
4488	1160	2
4487	2584	2
4486	2228	2
4479	872	2
4477	700	2
1830	15	0
4476	2824	2
4474	1073	2
4492	1280	2
4467	963	2
963	17	0
963	15	0
4466	586	2
4465	1115	2
4464	2355	2
4463	3071	2
4473	3234	2
4471	351	2
4471	1304	2
4471	848	2
4470	1915	2
1915	33	0
4469	1960	2
4469	2180	2
4469	2379	2
4468	3257	2
4462	1415	2
4462	1680	2
4462	1916	2
3342	1097	2
3369	508	2
3313	3178	2
3313	400	2
3444	985	2
3444	3142	2
3463	563	2
3479	83	2
3479	2711	2
3499	1529	2
3438	2242	2
3438	2232	2
3551	2660	2
3319	57	2
3319	68	2
3319	1868	2
3424	69	2
3332	2913	2
3332	2911	2
3445	2383	2
3445	711	2
3430	592	2
3553	717	2
3429	278	2
3452	745	2
3559	1594	2
3489	60	2
3306	2816	2
3328	2395	2
3328	2371	2
3328	2370	2
3328	2394	2
3715	1172	2
3664	2019	2
3650	680	2
3581	1274	2
3734	1982	2
3853	1979	2
3521	2749	2
3611	1076	2
3673	852	2
3572	82	2
3572	1511	2
3803	741	2
3842	2256	2
3845	378	2
3829	925	2
3843	1962	2
3697	610	2
3697	2658	2
3653	639	2
3653	1980	2
